POS,DRIVER,NATIONALITY,CAR,PTS
1,Nino Farina,ITA,Alfa Romeo,30
2,Juan Manuel Fangio,ARG,Alfa Romeo,27
3,Luigi Fagioli,ITA,Alfa Romeo,24
4,Louis Rosier,FRA,Talbot-Lago,13
5,Alberto Ascari,ITA,Ferrari,11
6,Johnnie Parsons,USA,Kurtis Kraft Offenhauser,9
7,Bill Holland,USA,Deidt Offenhauser,6
8,Prince Bira,THA,Maserati,5
9,Reg Parnell,GBR,Maserati,4
9,Louis Chiron,MON,Maserati,4
9,Mauri Rose,USA,Deidt Offenhauser,4
9,Peter Whitehead,GBR,Ferrari,4
13,Yves Giraud Cabantous,FRA,Talbot-Lago,3
13,Raymond Sommer,FRA,Talbot-Lago,3
13,Cecil Green,USA,Kurtis Kraft Offenhauser,3
13,Robert Manzon,FRA,Simca-Gordini,3
13,Dorino Serafini,ITA,null,3
13,Philippe Etancelin,FRA,null,3
19,Felice Bonetto,ITA,Maserati Milano,2
20,Tony Bettenhausen,USA,Deidt Offenhauser,1
20,Joie Chitwood,USA,Kurtis Kraft Offenhauser,1
20,Eugene Chaboud,FRA,null,1
