GRAND PRIX,DRIVER,CAR,TIME
Australia,Nico Rosberg,Williams Toyota,1:27.706
Malaysia,Jenson Button,Brawn Mercedes,1:36.641
China,Rubens Barrichello,Brawn Mercedes,1:52.592
Bahrain,Jarno Trulli,Toyota,1:34.556
Spain,Rubens Barrichello,Brawn Mercedes,1:22.762
Monaco,Felipe Massa,Ferrari,1:15.154
Turkey,Jenson Button,Brawn Mercedes,1:27.579
Great Britain,Sebastian Vettel,RBR Renault,1:20.735
Germany,Fernando Alonso,Renault,1:33.365
Hungary,Mark Webber,RBR Renault,1:21.931
Europe,Timo Glock,Toyota,1:38.683
Belgium,Sebastian Vettel,RBR Renault,1:47.263
Italy,Adrian Sutil,Force India Mercedes,1:24.739
Singapore,Fernando Alonso,Renault,1:48.240
Japan,Mark Webber,RBR Renault,1:32.569
Brazil,Mark Webber,RBR Renault,1:13.733
Abu Dhabi,Sebastian Vettel,RBR Renault,1:40.279
